epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
0,49,-0.6834179759025574,13.147880554199219,331.66680908203125,,,
0,99,-1.2221555709838867,7.366239547729492,95.93219757080078,,,
0,149,-1.3415144681930542,7.005228042602539,72.87952423095703,,,
0,179,,,,-0.7789983153343201,12.936319351196289,276.145751953125
1,199,-1.4721356630325317,5.839301586151123,53.949119567871094,,,
1,249,-1.4158742427825928,6.426655292510986,61.410926818847656,,,
1,299,-0.7904808521270752,13.389029502868652,259.20245361328125,,,
1,349,-0.33951616287231445,22.81841278076172,732.1563110351562,,,
1,359,,,,-1.4086220264434814,6.659546375274658,63.85194778442383
2,399,-0.01965382881462574,34.368499755859375,1529.20654296875,,,
2,449,-1.3978254795074463,6.360323905944824,64.01689910888672,,,
2,499,-0.0454324372112751,27.453197479248047,1441.0782470703125,,,
2,539,,,,-0.8125397562980652,12.1790771484375,257.94561767578125
3,549,-0.7707852721214294,13.804465293884277,271.2280578613281,,,
3,599,-0.25109973549842834,25.24720001220703,897.4705810546875,,,
3,649,-0.7516942620277405,13.246188163757324,283.4169006347656,,,
3,699,-1.1615140438079834,7.355044841766357,110.30774688720703,,,
3,719,,,,-0.6861131191253662,14.122804641723633,345.8009948730469
4,749,-0.3376193344593048,20.986858367919922,735.361083984375,,,
4,799,-0.9356579780578613,10.632822036743164,185.55044555664062,,,
4,849,-1.5620061159133911,5.713082313537598,43.86457824707031,,,
4,899,-0.18027202785015106,24.678518295288086,1056.447509765625,,,
4,899,,,,-0.5739176273345947,15.826730728149414,451.93634033203125
5,949,-1.6749099493026733,4.7713823318481445,33.822837829589844,,,
