epoch,step,test_loss,test_mae,test_mse,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
0,49,,,,0.17914032936096191,34.17034149169922,2416.9091796875,,,
0,99,,,,-0.5566043257713318,14.888105392456055,444.1356506347656,,,
0,149,,,,-1.410064697265625,6.416425704956055,62.23796463012695,,,
0,179,,,,,,,-0.6845920085906982,13.728864669799805,354.6681823730469
1,199,,,,-0.6906348466873169,11.880146026611328,326.2009582519531,,,
1,249,,,,-0.09532028436660767,32.05125427246094,1284.694091796875,,,
1,299,,,,-1.1670515537261963,7.696601867675781,108.91019439697266,,,
1,349,,,,-0.2901533842086792,22.586536407470703,820.2884521484375,,,
1,359,,,,,,,-0.25207042694091797,23.157068252563477,961.6375732421875
2,399,,,,-1.5671825408935547,5.616450309753418,43.3448486328125,,,
2,449,,,,-0.34588244557380676,21.983558654785156,721.5020751953125,,,
2,499,,,,-0.5559437274932861,15.101655006408691,444.81182861328125,,,
2,539,,,,,,,-1.60492742061615,5.391902446746826,40.517372131347656
3,549,,,,-1.2191805839538574,8.451432228088379,96.59159851074219,,,
3,599,,,,-0.9832818508148193,9.665599822998047,166.279296875,,,
3,649,,,,-1.6212114095687866,5.237395286560059,38.27442169189453,,,
3,699,,,,-0.2893510162830353,20.834604263305664,821.805419921875,,,
3,719,,,,,,,-0.686947762966156,13.658692359924316,352.373779296875
4,749,,,,-1.4351752996444702,6.798896789550781,58.7414665222168,,,
4,799,,,,-1.4632809162139893,5.52687931060791,55.06035614013672,,,
4,849,,,,-1.368369698524475,6.538466453552246,68.50942993164062,,,
4,899,,,,-1.488725185394287,6.191500663757324,51.92720031738281,,,
4,899,,,,,,,-1.600792407989502,5.46510648727417,41.065895080566406
5,949,,,,-1.4957355260849,5.946825981140137,51.09571838378906,,,
5,999,,,,-1.2764369249343872,7.237782955169678,84.66091918945312,,,
5,1049,,,,-0.9793106317520142,10.522623062133789,167.8067626953125,,,
5,1079,,,,,,,0.12285561859607697,36.5437126159668,2272.76318359375
6,1099,,,,-1.686503529548645,4.865909099578857,32.931880950927734,,,
6,1149,,,,-0.27709588408470154,20.742961883544922,845.3257446289062,,,
6,1199,,,,-0.6370987892150879,14.605109214782715,368.9956970214844,,,
6,1249,,,,-1.3143571615219116,6.879136085510254,77.58232879638672,,,
6,1259,,,,,,,-1.5016939640045166,6.031989574432373,51.31128692626953
7,1299,,,,-1.521780252456665,6.073243141174316,48.12156295776367,,,
7,1349,,,,-0.20015008747577667,25.156618118286133,1009.1830444335938,,,
7,1399,,,,-0.8898721933364868,11.173547744750977,206.18060302734375,,,
7,1439,,,,,,,-1.0718318223953247,9.093461990356445,142.591552734375
8,1449,,,,-0.1744265854358673,24.152626037597656,1070.76318359375,,,
8,1499,,,,-0.5608528852462769,17.259258270263672,439.81207275390625,,,
8,1549,,,,-1.4463732242584229,6.342950820922852,57.2462158203125,,,
8,1599,,,,-1.6650949716567993,4.705840110778809,34.5959358215332,,,
8,1619,,,,,,,-1.246354579925537,7.750392436981201,92.90904235839844
9,1649,,,,-1.4857778549194336,5.969108581542969,52.28078079223633,,,
9,1699,,,,-0.9815840125083923,10.144978523254395,166.93060302734375,,,
9,1749,,,,-1.6022721529006958,5.30865478515625,39.980464935302734,,,
9,1799,,,,-0.5615202188491821,17.467662811279297,439.13677978515625,,,
