epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
12,2249,-0.4408058524131775,18.94709587097168,579.8479614257812,,,
12,2299,-0.41611960530281067,18.76154327392578,613.7625732421875,,,
12,2339,,,,-1.1097259521484375,8.965567588806152,127.90156555175781
13,2349,-1.0910218954086304,8.523120880126953,129.74725341796875,,,
13,2399,-0.5909289121627808,14.530008316040039,410.38470458984375,,,
13,2449,-1.066804051399231,10.115165710449219,137.18792724609375,,,
13,2499,-0.8581633567810059,11.742679595947266,221.79750061035156,,,
13,2519,,,,-0.9516147375106812,9.96357250213623,190.69757080078125
14,2549,-0.5001266002655029,17.281780242919922,505.81695556640625,,,
14,2599,-1.579487919807434,5.7029571533203125,42.133949279785156,,,
14,2649,-1.5126430988311768,5.71605920791626,49.14472198486328,,,
14,2699,-1.1865761280059814,8.169039726257324,104.12232971191406,,,
14,2699,,,,-1.5890501737594604,5.445593357086182,42.043701171875
15,2749,-0.9682647585868835,10.485969543457031,172.12945556640625,,,
15,2799,-1.4064500331878662,6.73612117767334,62.75811767578125,,,
15,2849,-0.5654425621032715,16.31924057006836,435.1885681152344,,,
15,2879,,,,-1.6075363159179688,5.476532459259033,40.39320755004883
16,2899,-1.193448543548584,7.180281639099121,102.48762512207031,,,
16,2949,-1.1480469703674316,8.19470500946045,113.7818603515625,,,
16,2999,-0.2966783940792084,22.441970825195312,808.0562744140625,,,
16,3049,-1.0955153703689575,9.136022567749023,128.4117431640625,,,
16,3059,,,,-1.4807560443878174,6.059408187866211,54.27923583984375
17,3099,-0.9780464768409729,9.58969497680664,168.29592895507812,,,
17,3149,-1.7339351177215576,4.533917427062988,29.52466583251953,,,
17,3199,-1.4192160367965698,6.5186920166015625,60.940208435058594,,,
17,3239,,,,-0.8020618557929993,12.45144271850586,263.26507568359375
18,3249,-1.3895015716552734,6.778173446655273,65.25570678710938,,,
18,3299,-1.5010093450546265,5.805649757385254,50.47898864746094,,,
18,3349,-0.5269305109977722,15.900059700012207,475.54266357421875,,,
18,3399,-1.0259448289871216,10.055567741394043,150.72149658203125,,,
18,3419,,,,-0.7389292120933533,12.924931526184082,309.9201965332031
19,3449,-0.5719336271286011,16.884347915649414,428.73248291015625,,,
19,3499,-1.391602873802185,6.913124084472656,64.94071960449219,,,
